"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2025-01-07,2026-04-26,세부타겟크루즈여행하면서,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,145,1.075862,,"광고 세트 예산 사용 중",0,4848,"진행 중",156,31076.923077,7,,692.571429,4.487179,7,4.487179,692.571429,7,692.571429
2025-01-07,2026-04-26,대한민국크루즈야영상,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1002,1.103792,,"광고 세트 예산 사용 중",0,14079,"진행 중",1106,12729.65642,25,,563.16,2.260398,33,2.983725,426.636364,22,639.954545
2025-01-07,2026-04-26,세부타겟크루즈야영상,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",4,actions:offsite_conversion.fb_pixel_lead,736,1.164402,3186.25,"광고 세트 예산 사용 중",0,12745,"진행 중",857,14871.645274,32,,398.28125,3.733956,35,4.084014,364.142857,29,439.482759
2025-01-07,2026-04-26,경력없이2차직장영상,18-24,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",7,actions:offsite_conversion.fb_pixel_lead,1600,1.13375,2301.28571429,"광고 세트 예산 사용 중",0,16109,"진행 중",1814,8880.374862,41,,392.902439,2.260198,51,2.811466,315.862745,39,413.051282
2025-01-07,2026-04-26,세부타겟경력없이2차직장,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,800,1.2,4931.5,"광고 세트 예산 사용 중",0,9863,"진행 중",960,10273.958333,17,,580.176471,1.770833,22,2.291667,448.318182,15,657.533333
2025-01-07,2026-04-26,대한민국재택가능새로운직업,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,79,1.075949,,"광고 세트 예산 사용 중",0,1970,"진행 중",85,23176.470588,2,,985,2.352941,2,2.352941,985,2,985
2025-01-07,2026-04-26,세부타겟재택가능크루즈,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,62,1.16129,,"광고 세트 예산 사용 중",0,1140,"진행 중",72,15833.333333,2,,570,2.777778,2,2.777778,570,2,570
2025-01-07,2026-04-26,"직업 바꾸고 2차 인생 사는 법",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",8,actions:offsite_conversion.fb_pixel_lead,4228,1.220199,14715.25,30000,"일일 예산",117722,"진행 중",5159,22818.763326,148,,795.418919,2.868773,202,3.915488,582.782178,131,898.641221
2025-01-07,2026-04-26,대한민국크루즈여행하면서,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,8,1.125,,"광고 세트 예산 사용 중",0,88,"진행 중",9,9777.777778,,,,,0,0,0,,
2025-01-07,2026-04-26,"크루즈 프리랜서 어떻게 해?",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,249,1.076305,,20000,"일일 예산",8953,"진행 중",268,33406.716418,7,,1279,2.61194,7,2.61194,1279,6,1492.166667
2025-01-07,2026-04-26,세부타겟크루즈여행하면서,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,92,1.097826,,"광고 세트 예산 사용 중",0,4580,"진행 중",101,45346.534653,8,,572.5,7.920792,9,8.910891,508.888889,8,572.5
2025-01-07,2026-04-26,크루즈아카데미프리랜서특강,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,19,1.052632,,20000,"일일 예산",776,2025-07-15,20,38800,,,,,0,0,0,,
2025-01-07,2026-04-26,대한민국크루즈야영상,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",9,actions:offsite_conversion.fb_pixel_lead,2856,1.148109,7219.33333333,"광고 세트 예산 사용 중",0,64974,"진행 중",3279,19815.187557,108,,601.611111,3.293687,132,4.025618,492.227273,105,618.8
2025-01-07,2026-04-26,"사본 경력없이2차직장영상",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,203,1.039409,,"광고 세트 예산 사용 중",0,4505,"진행 중",211,21350.7109,4,,1126.25,1.895735,4,1.895735,1126.25,4,1126.25
2025-01-07,2026-04-26,세부타겟크루즈야영상,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",17,actions:offsite_conversion.fb_pixel_lead,2096,1.158874,3179.41176471,"광고 세트 예산 사용 중",0,54050,"진행 중",2429,22251.955537,116,,465.948276,4.775628,135,5.557843,400.37037,109,495.87156
2025-01-07,2026-04-26,기업이좋아하는프리랜서,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,179,1.117318,,10000,"일일 예산",9187,"진행 중",200,45935,4,,2296.75,2,7,3.5,1312.428571,,
2025-01-07,2026-04-26,경력없이2차직장영상,25-34,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",307,actions:offsite_conversion.fb_pixel_lead,64992,2.277265,8659.16286645,"광고 세트 예산 사용 중",0,2658363,"진행 중",148004,17961.426718,5081,,523.196812,3.433015,6036,4.078268,440.417992,4666,569.730604
2025-01-07,2026-04-26,크루즈프리랜서무료강의,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,140,1.114286,,10000,"일일 예산",7280,"진행 중",156,46666.666667,4,,1820,2.564103,4,2.564103,1820,,
2025-01-07,2026-04-26,세부타겟경력없이2차직장,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",196,actions:offsite_conversion.fb_pixel_lead,28880,1.823684,4196.46428571,"광고 세트 예산 사용 중",0,822507,"진행 중",52668,15616.826156,2641,,311.437713,5.01443,2980,5.658085,276.00906,2545,323.185462
2025-01-07,2026-04-26,무경력도일할수있다,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,633,1.148499,12637,30000,"일일 예산",25274,"진행 중",727,34764.786795,11,,2297.636364,1.513067,15,2.063274,1684.933333,,
2025-01-07,2026-04-26,대한민국재택가능새로운직업,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,171,1.134503,,"광고 세트 예산 사용 중",0,4659,"진행 중",194,24015.463918,8,,582.375,4.123711,12,6.185567,388.25,6,776.5
2025-01-07,2026-04-26,취업no1인프리랜서크루즈여행사,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,98,1.030612,2304.5,10000,"일일 예산",4609,"진행 중",101,45633.663366,3,,1536.333333,2.970297,3,2.970297,1536.333333,3,1536.333333
2025-01-07,2026-04-26,세부타겟재택가능크루즈,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,141,1.06383,,"광고 세트 예산 사용 중",0,2525,"진행 중",150,16833.333333,5,,505,3.333333,5,3.333333,505,4,631.25
2025-01-07,2026-04-26,똑똑한사람은이미,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,503,1.512922,,"광고 세트 예산 사용 중",0,2601,"진행 중",761,3417.871222,3,,867,0.394218,3,0.394218,867,,
2025-01-07,2026-04-26,"노하우무료증정 2025-0705",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,374,1.037433,,"광고 세트 예산 사용 중",0,6716,"진행 중",388,17309.278351,10,,671.6,2.57732,11,2.835052,610.545455,10,671.6
2025-01-07,2026-04-26,블루오션크루즈,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,454,1.207048,,20000,"일일 예산",19384,"진행 중",548,35372.262774,7,,2769.142857,1.277372,8,1.459854,2423,,
2025-01-07,2026-04-26,"경력없이 가능한 프리랜서",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,82,1.04878,,"광고 세트 예산 사용 중",0,1960,"진행 중",86,22790.697674,3,,653.333333,3.488372,3,3.488372,653.333333,2,980
2025-01-07,2026-04-26,크루즈프리랜서100%실제후기,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,42,1.285714,,20000,"일일 예산",3909,"진행 중",54,72388.888889,1,,3909,1.851852,2,3.703704,1954.5,1,3909
2025-01-07,2026-04-26,"2차직업 대한민국 20250709",25-34,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",42,actions:offsite_conversion.fb_pixel_lead,13800,1.705072,13883.92857143,"광고 세트 예산 사용 중",0,583125,"진행 중",23530,24782.192945,594,,981.691919,2.524437,660,2.80493,883.522727,494,1180.41498
2025-01-07,2026-04-26,크루즈프리랜서99%실패합니다,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,54,1.185185,,"광고 세트 예산 사용 중",0,4320,"진행 중",64,67500,1,,4320,1.5625,1,1.5625,4320,1,4320
2025-01-07,2026-04-26,"여행인가 일인가? 둘다다",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,21,1,,20000,"일일 예산",566,"진행 중",21,26952.380952,,,,,1,4.761905,566,,
2025-01-07,2026-04-26,90분무료특강,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,15,1,,"광고 세트 예산 사용 중",0,711,"진행 중",15,47400,,,,,0,0,0,,
2025-01-07,2026-04-26,"물살 경력도 크루즈 여행 일 하는 법",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,1711,1.139684,7325,10000,"일일 예산",36625,"진행 중",1950,18782.051282,37,,989.864865,1.897436,46,2.358974,796.195652,32,1144.53125
2025-01-07,2026-04-26,"지루한 사무실 이제는 프루즈로",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,78,1.025641,,20000,"일일 예산",1753,"진행 중",80,21912.5,,,,,0,0,0,,
2025-01-07,2026-04-26,"하라는 대로 했더니",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,55,1.054545,,20000,"일일 예산",995,"진행 중",58,17155.172414,,,,,0,0,0,,
2025-01-07,2026-04-26,"취업 No 크루즈 여행 하며 프리하게 버는법",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,1635,1.130275,,10000,"일일 예산",34347,"진행 중",1848,18586.038961,37,,928.297297,2.002165,44,2.380952,780.613636,32,1073.34375
2025-01-07,2026-04-26,"아무것도 몰라도 크루즈 프리랜서 되는법",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,60,1,,10000,"일일 예산",1118,"진행 중",60,18633.333333,1,,1118,1.666667,1,1.666667,1118,,
2025-01-07,2026-04-26,아무것도크루즈마케터,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,61,1.016393,,10000,"일일 예산",1020,"진행 중",62,16451.612903,,,,,0,0,0,,
2025-01-07,2026-04-26,100%실무만담은현장노하우,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,72,1.041667,,20000,"일일 예산",1827,"진행 중",75,24360,,,,,0,0,0,,
