"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-02-13,2026-04-27,,,0,"여러 기여 설정",,,112223,2.208932,,0,0,4498623,,247893,18147.438613,,,,,19342,7.80256,232.583135,,
2024-02-13,2026-04-26,크루즈두번째,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",,,144,1.048611,,"광고 세트 예산 사용 중",0,2345,"진행 중",151,15529.801325,6,,390.833333,3.97351,7,4.635762,335,5,469
2024-02-13,2026-04-26,"크루즈두번째 -2",18-24,archived,"클릭 후 7일 또는 조회 후 1일",,,1428,1.559524,,"광고 세트 예산 사용 중",0,32166,2024-07-02,2227,14443.646161,58,,554.586207,2.604401,79,3.547373,407.164557,43,748.046512
2024-02-13,2026-04-26,"트래픽 크루즈두번째 - 3",18-24,archived,"클릭 후 7일 또는 조회 후 1일",,,1,1,,"광고 세트 예산 사용 중",0,5,2024-05-07,1,5000,,,,,0,0,0,,
2024-02-13,2026-04-26,"트래픽 크루즈두번째 - 4",18-24,archived,"클릭 후 7일 또는 조회 후 1일",,,2,1,,"광고 세트 예산 사용 중",0,35,2024-05-07,2,17500,,,,,0,0,0,,
2024-02-13,2026-04-26,여행이조아서광고,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",4,actions:link_click,207,1.149758,356,"광고 세트 예산 사용 중",0,1424,"진행 중",238,5983.193277,4,,356,1.680672,5,2.10084,284.8,,
2024-02-13,2026-04-26,3800크루즈테스트1,25-34,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,240,1.1,,"광고 세트 예산 사용 중",0,4903,2024-05-07,264,18571.969697,19,,258.052632,7.19697,21,7.954545,233.47619,12,408.583333
2024-02-13,2026-04-26,3050테스트,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,24,1.041667,,"광고 세트 예산 사용 중",0,694,2024-03-22,25,27760,1,,694,4,1,4,694,1,694
2024-02-13,2026-04-26,크루즈두번째,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,406,1.068966,,"광고 세트 예산 사용 중",0,10107,"진행 중",434,23288.018433,24,,421.125,5.529954,31,7.142857,326.032258,18,561.5
2024-02-13,2026-04-26,"크루즈두번째 -2",25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,3406,1.573693,,"광고 세트 예산 사용 중",0,108710,2024-07-02,5360,20281.716418,157,,692.420382,2.929104,196,3.656716,554.642857,114,953.596491
