"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",18-24,inactive,"클릭 후 7일 또는 조회 후 1일",126,actions:offsite_conversion.fb_pixel_lead,20032,2.487171,3470.03174603,"광고 세트 예산 사용 중",0,437224,"진행 중",49823,8775.545431,1501,,291.288474,3.012665,1757,3.526484,248.846898,1236,353.7411
2024-07-17,2026-04-26,크루즈야인솔자,18-24,inactive,"여러 기여 설정",,,2220,1.354505,,"광고 세트 예산 사용 중",0,24842,"진행 중",3007,8261.39009,38,,653.736842,1.263718,66,2.194879,376.393939,42,591.47619
2024-07-17,2026-04-26,인솔자테스트,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",,,490,1.2,,"광고 세트 예산 사용 중",0,10849,"진행 중",588,18450.680272,18,,602.722222,3.061224,21,3.571429,516.619048,,
2024-07-17,2026-04-26,인솔자테스트2,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",,,90,1.166667,,"광고 세트 예산 사용 중",0,2060,"진행 중",105,19619.047619,2,,1030,1.904762,3,2.857143,686.666667,,
2024-07-17,2026-04-26,피아노랜드광고,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1228,1.787459,,"광고 세트 예산 사용 중",0,20335,"진행 중",2195,9264.236902,27,,753.148148,1.230068,37,1.685649,549.594595,29,701.206897
2024-07-17,2026-04-26,이미지vip안마의자,25-34,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,415,1.306024,,"광고 세트 예산 사용 중",0,7646,"진행 중",542,14107.01107,16,,477.875,2.95203,20,3.690037,382.3,14,546.142857
2024-07-17,2026-04-26,"크루즈 잠재고객 광고",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,128,1.070313,,"광고 세트 예산 사용 중",0,4487,"진행 중",137,32751.824818,9,,498.555556,6.569343,13,9.489051,345.153846,8,560.875
2024-07-17,2026-04-26,동영상vip안마의자,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,48,1.041667,,"광고 세트 예산 사용 중",0,866,"진행 중",50,17320,1,,866,2,1,2,866,1,866
2024-07-17,2026-04-26,"크루즈 잠재고객 광고 - 사본",25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,18,1.055556,,"광고 세트 예산 사용 중",0,625,2024-07-18,19,32894.736842,,,,,0,0,0,,
2024-07-17,2026-04-26,크루즈주스100달러,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,10,1,,"광고 세트 예산 사용 중",0,276,2024-07-18,10,27600,,,,,0,0,0,,
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",548,actions:offsite_conversion.fb_pixel_lead,60672,2.77291,4325.93430657,"광고 세트 예산 사용 중",0,2370612,"진행 중",168238,14090.823714,7637,,310.411418,4.539403,8685,5.16233,272.95475,6581,360.220635
2024-07-17,2026-04-26,3차랜딩페이지2번광고전환,25-34,archived,~,,,7,1,,"광고 세트 예산 사용 중",0,446,2024-07-21,7,63714.285714,,,,,0,0,0,,
2024-07-17,2026-04-26,3차홍콩랜딩페이지테스트,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",9,actions:offsite_conversion.fb_pixel_lead,1318,1.176783,3201.55555556,"광고 세트 예산 사용 중",0,28814,"진행 중",1551,18577.691812,75,,384.186667,4.83559,83,5.351386,347.156627,49,588.040816
2024-07-17,2026-04-26,크루즈야인솔자,25-34,inactive,"여러 기여 설정",,,5316,1.367946,,"광고 세트 예산 사용 중",0,108430,"진행 중",7272,14910.616062,239,,453.682008,3.286579,299,4.111661,362.64214,209,518.803828
2024-07-17,2026-04-26,3800크루즈인솔자,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,919,1.290533,,"광고 세트 예산 사용 중",0,27976,"진행 중",1186,23588.532884,27,,1036.148148,2.27656,32,2.698145,874.25,,
2024-07-17,2026-04-26,인솔자테스트,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,1362,1.195301,,"광고 세트 예산 사용 중",0,43176,"진행 중",1628,26520.884521,55,,785.018182,3.378378,63,3.869779,685.333333,,
2024-07-17,2026-04-26,인솔자테스트2,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,440,1.15,,"광고 세트 예산 사용 중",0,13425,"진행 중",506,26531.620553,15,,895,2.964427,20,3.952569,671.25,,
2024-07-17,2026-04-26,"3차랜딩페이지 대한민국전체 복사",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",13,actions:offsite_conversion.fb_pixel_lead,2724,1.837372,6939.53846154,"광고 세트 예산 사용 중",0,90214,"진행 중",5005,18024.775225,219,,411.936073,4.375624,251,5.014985,359.418327,208,433.721154
2024-07-17,2026-04-26,페리크루즈,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,1304,1.509969,6464,"광고 세트 예산 사용 중",0,32320,"진행 중",1969,16414.423565,51,,633.72549,2.590147,64,3.250381,505,40,808
2024-07-17,2026-04-26,"두번째4차 65만원 카피 25-07-05",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,50,1.12,,"광고 세트 예산 사용 중",0,508,"진행 중",56,9071.428571,2,,254,3.571429,2,3.571429,254,2,254
2024-07-17,2026-04-26,피아노랜드광고,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,2228,1.652603,,"광고 세트 예산 사용 중",0,51970,"진행 중",3682,14114.611624,96,,541.354167,2.607279,108,2.933188,481.203704,91,571.098901
2024-07-17,2026-04-26,"4차랜딩 2.5 버전",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,505,1.370297,,"광고 세트 예산 사용 중",0,15587,"진행 중",692,22524.566474,36,,432.972222,5.202312,42,6.069364,371.119048,33,472.333333
2024-07-17,2026-04-26,유럽럭셔리초특가,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",21,actions:offsite_conversion.fb_pixel_view_content,4596,1.040688,822.38095238,"광고 세트 예산 사용 중",0,17270,"진행 중",4783,3610.704579,28,,616.785714,0.585407,38,0.79448,454.473684,20,863.5
2024-07-17,2026-04-26,"알차게 즐기는법",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",4,actions:offsite_conversion.fb_pixel_view_content,413,1.024213,356.5,"광고 세트 예산 사용 중",0,1426,"진행 중",423,3371.158392,5,,285.2,1.182033,5,1.182033,285.2,3,475.333333
2024-07-17,2026-04-26,뷔폐코스요리무제한,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",22,actions:offsite_conversion.fb_pixel_view_content,6636,1.017179,1006.59090909,"광고 세트 예산 사용 중",0,22145,"진행 중",6750,3280.740741,35,,632.714286,0.518519,43,0.637037,515,22,1006.590909
2024-07-17,2026-04-26,안전한갓성비크루즈,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",19,actions:offsite_conversion.fb_pixel_view_content,7384,1,1141.26315789,"광고 세트 예산 사용 중",0,21684,"진행 중",7384,2936.619718,24,,903.5,0.325027,29,0.392741,747.724138,18,1204.666667
2024-07-17,2026-04-26,동부지중해위22만원,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1132,1.227032,,"광고 세트 예산 사용 중",0,10886,"진행 중",1389,7837.293017,182,,59.813187,13.102952,141,10.151188,77.205674,94,115.808511
2024-07-17,2026-04-26,동부지중해아래22만원,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,776,1.719072,,"광고 세트 예산 사용 중",0,13085,"진행 중",1334,9808.845577,405,,32.308642,30.35982,232,17.391304,56.400862,228,57.390351
2024-07-17,2026-04-26,"월18만원 떠나는",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,22,1.136364,,"광고 세트 예산 사용 중",0,254,"진행 중",25,10160,,,,,1,4,254,,
2024-07-17,2026-04-26,동유럽알래스카18만원선착순,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,16,1.125,,"광고 세트 예산 사용 중",0,346,"진행 중",18,19222.222222,2,,173,11.111111,2,11.111111,173,,
2024-07-17,2026-04-26,"올해마지막기회 동유럽",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,920,1.530435,,"광고 세트 예산 사용 중",0,27425,"진행 중",1408,19477.982955,23,,1192.391304,1.633523,31,2.201705,884.677419,18,1523.611111
2024-07-17,2026-04-26,26년3월4일,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,226,1.393805,,"광고 세트 예산 사용 중",0,8787,"진행 중",315,27895.238095,8,,1098.375,2.539683,8,2.539683,1098.375,6,1464.5
2024-07-17,2026-04-26,이미지vip안마의자,35-44,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,502,1.223108,,"광고 세트 예산 사용 중",0,11194,"진행 중",614,18231.270358,14,,799.571429,2.28013,16,2.605863,699.625,12,932.833333
2024-07-17,2026-04-26,"크루즈 잠재고객 광고",35-44,inactive,"클릭 후 7일 또는 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,510,1.084314,7284.66666667,"광고 세트 예산 사용 중",0,21854,"진행 중",553,39518.987342,39,,560.358974,7.052441,43,7.775769,508.232558,31,704.967742
2024-07-17,2026-04-26,동영상vip안마의자,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,69,1.028986,,"광고 세트 예산 사용 중",0,1217,"진행 중",71,17140.84507,2,,608.5,2.816901,2,2.816901,608.5,2,608.5
2024-07-17,2026-04-26,"크루즈 잠재고객 광고 - 사본",35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,27,1.037037,,"광고 세트 예산 사용 중",0,1112,2024-07-18,28,39714.285714,1,,1112,3.571429,1,3.571429,1112,1,1112
2024-07-17,2026-04-26,크루즈주스100달러,35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,16,1,,"광고 세트 예산 사용 중",0,825,2024-07-18,16,51562.5,,,,,0,0,0,,
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",35-44,inactive,"클릭 후 7일 또는 조회 후 1일",1628,actions:offsite_conversion.fb_pixel_lead,108672,3.024615,3811.02948403,"광고 세트 예산 사용 중",0,6204356,"진행 중",328691,18875.953403,23526,,263.72337,7.157482,25601,7.788774,242.34819,21398,289.950276
2024-07-17,2026-04-26,3차랜딩페이지2번광고전환,35-44,archived,~,,,12,1,,"광고 세트 예산 사용 중",0,512,2024-07-21,12,42666.666667,1,,512,8.333333,1,8.333333,512,1,512
2024-07-17,2026-04-26,3차홍콩랜딩페이지테스트,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",26,actions:offsite_conversion.fb_pixel_lead,3880,1.14201,3870.88461538,"광고 세트 예산 사용 중",0,100643,"진행 중",4431,22713.382984,290,,347.044828,6.544798,330,7.447529,304.978788,218,461.665138
2024-07-17,2026-04-26,크루즈야인솔자,35-44,inactive,"여러 기여 설정",,,5264,1.223214,,"광고 세트 예산 사용 중",0,142549,"진행 중",6439,22138.375524,333,,428.075075,5.171611,369,5.730704,386.311653,287,496.686411
2024-07-17,2026-04-26,3800크루즈인솔자,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",,,1974,1.191996,,"광고 세트 예산 사용 중",0,79526,"진행 중",2353,33797.705057,92,,864.413043,3.909902,100,4.249894,795.26,,
2024-07-17,2026-04-26,인솔자테스트,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",,,1342,1.159463,,"광고 세트 예산 사용 중",0,53404,"진행 중",1556,34321.336761,67,,797.074627,4.305913,74,4.755784,721.675676,,
2024-07-17,2026-04-26,인솔자테스트2,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",,,879,1.117179,,"광고 세트 예산 사용 중",0,31199,"진행 중",982,31770.875764,50,,623.98,5.09165,52,5.295316,599.980769,1,31199
2024-07-17,2026-04-26,"3차랜딩페이지 대한민국전체 복사",35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",102,actions:offsite_conversion.fb_pixel_lead,12088,1.822055,5163.12745098,"광고 세트 예산 사용 중",0,526639,"진행 중",22025,23910.964813,1641,,320.925655,7.450624,1786,8.108967,294.870661,1542,341.529831
2024-07-17,2026-04-26,페리크루즈,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,3394,1.515616,40255.33333333,"광고 세트 예산 사용 중",0,120766,"진행 중",5144,23477.060653,254,,475.456693,4.937792,257,4.996112,469.906615,229,527.362445
2024-07-17,2026-04-26,"두번째4차 65만원 카피 25-07-05",35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,240,1.041667,,"광고 세트 예산 사용 중",0,3192,"진행 중",250,12768,13,,245.538462,5.2,14,5.6,228,12,266
2024-07-17,2026-04-26,피아노랜드광고,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,3382,1.585748,36198.66666667,"광고 세트 예산 사용 중",0,108596,"진행 중",5363,20249.114302,329,,330.079027,6.134626,373,6.955062,291.142091,322,337.254658
2024-07-17,2026-04-26,"4차랜딩 2.5 버전",35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,829,1.361882,,"광고 세트 예산 사용 중",0,37963,"진행 중",1129,33625.332152,65,,584.046154,5.757307,70,6.200177,542.328571,51,744.372549
2024-07-17,2026-04-26,유럽럭셔리초특가,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",9,actions:offsite_conversion.fb_pixel_view_content,2072,1.035232,1244.55555556,"광고 세트 예산 사용 중",0,11201,"진행 중",2145,5221.911422,13,,861.615385,0.606061,14,0.652681,800.071429,9,1244.555556
2024-07-17,2026-04-26,"알차게 즐기는법",35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",4,actions:offsite_conversion.fb_pixel_view_content,308,1.00974,444.25,"광고 세트 예산 사용 중",0,1777,"진행 중",311,5713.826367,5,,355.4,1.607717,5,1.607717,355.4,4,444.25
2024-07-17,2026-04-26,뷔폐코스요리무제한,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",26,actions:offsite_conversion.fb_pixel_view_content,3352,1.014618,676.15384615,"광고 세트 예산 사용 중",0,17580,"진행 중",3401,5169.067921,24,,732.5,0.705675,30,0.882094,586,23,764.347826
2024-07-17,2026-04-26,안전한갓성비크루즈,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",20,actions:offsite_conversion.fb_pixel_view_content,3808,1.043067,891.3,"광고 세트 예산 사용 중",0,17826,"진행 중",3972,4487.915408,28,,636.642857,0.704935,31,0.780463,575.032258,18,990.333333
2024-07-17,2026-04-26,동부지중해위22만원,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1007,1.241311,,"광고 세트 예산 사용 중",0,13091,"진행 중",1250,10472.8,135,,96.97037,10.8,122,9.76,107.303279,59,221.881356
2024-07-17,2026-04-26,동부지중해아래22만원,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_view_content,1026,1.561404,5528,"광고 세트 예산 사용 중",0,16584,"진행 중",1602,10352.059925,353,,46.98017,22.034956,198,12.359551,83.757576,215,77.134884
2024-07-17,2026-04-26,"월18만원 떠나는",35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,86,1.093023,,"광고 세트 예산 사용 중",0,2438,"진행 중",94,25936.170213,6,,406.333333,6.382979,4,4.255319,609.5,2,1219
2024-07-17,2026-04-26,동유럽알래스카18만원선착순,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,58,1.034483,,"광고 세트 예산 사용 중",0,1237,"진행 중",60,20616.666667,7,,176.714286,11.666667,7,11.666667,176.714286,5,247.4
2024-07-17,2026-04-26,"올해마지막기회 동유럽",35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1456,1.536401,,"광고 세트 예산 사용 중",0,54196,"진행 중",2237,24227.089852,56,,967.785714,2.503353,66,2.95038,821.151515,53,1022.566038
2024-07-17,2026-04-26,26년3월4일,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,453,1.450331,,"광고 세트 예산 사용 중",0,22060,"진행 중",657,33576.864536,14,,1575.714286,2.130898,16,2.435312,1378.75,12,1838.333333
2024-07-17,2026-04-26,이미지vip안마의자,45-54,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,570,1.245614,5331.33333333,"광고 세트 예산 사용 중",0,15994,"진행 중",710,22526.760563,27,,592.37037,3.802817,33,4.647887,484.666667,24,666.416667
2024-07-17,2026-04-26,"크루즈 잠재고객 광고",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,397,1.110831,7628,"광고 세트 예산 사용 중",0,15256,"진행 중",441,34594.104308,27,,565.037037,6.122449,30,6.802721,508.533333,26,586.769231
2024-07-17,2026-04-26,동영상vip안마의자,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,52,1.038462,,"광고 세트 예산 사용 중",0,1250,"진행 중",54,23148.148148,,,,,0,0,0,,
2024-07-17,2026-04-26,"크루즈 잠재고객 광고 - 사본",45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,20,1.05,,"광고 세트 예산 사용 중",0,720,2024-07-18,21,34285.714286,2,,360,9.52381,2,9.52381,360,2,360
2024-07-17,2026-04-26,크루즈주스100달러,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,18,1,,"광고 세트 예산 사용 중",0,741,2024-07-18,18,41166.666667,,,,,0,0,0,,
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",886,actions:offsite_conversion.fb_pixel_lead,56192,2.792889,3832.25395034,"광고 세트 예산 사용 중",0,3395377,"진행 중",156938,21635.148912,15043,,225.711427,9.585314,16374,10.43342,207.363931,13872,244.764778
2024-07-17,2026-04-26,3차랜딩페이지2번광고전환,45-54,archived,~,,,18,1,,"광고 세트 예산 사용 중",0,298,2024-07-21,18,16555.555556,,,,,0,0,0,,
2024-07-17,2026-04-26,3차홍콩랜딩페이지테스트,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,796,1.209799,4258.8,"광고 세트 예산 사용 중",0,21294,"진행 중",963,22112.149533,52,,409.5,5.399792,55,5.711319,387.163636,42,507
2024-07-17,2026-04-26,크루즈야인솔자,45-54,inactive,"여러 기여 설정",,,2880,1.327083,,"광고 세트 예산 사용 중",0,100831,"진행 중",3822,26381.73731,281,,358.829181,7.352172,301,7.875458,334.986711,234,430.901709
2024-07-17,2026-04-26,3800크루즈인솔자,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,1420,1.196479,,"광고 세트 예산 사용 중",0,72338,"진행 중",1699,42576.809888,102,,709.196078,6.003531,105,6.180106,688.933333,,
2024-07-17,2026-04-26,인솔자테스트,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,678,1.151917,,"광고 세트 예산 사용 중",0,35819,"진행 중",781,45862.996159,55,,651.254545,7.042254,59,7.554417,607.101695,,
2024-07-17,2026-04-26,인솔자테스트2,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,380,1.081579,,"광고 세트 예산 사용 중",0,15102,"진행 중",411,36744.525547,41,,368.341463,9.975669,42,10.218978,359.571429,,
2024-07-17,2026-04-26,"3차랜딩페이지 대한민국전체 복사",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",19,actions:offsite_conversion.fb_pixel_lead,2508,1.622408,6220.36842105,"광고 세트 예산 사용 중",0,118187,"진행 중",4069,29045.711477,323,,365.904025,7.938068,354,8.699926,333.861582,305,387.498361
2024-07-17,2026-04-26,페리크루즈,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",6,actions:offsite_conversion.fb_pixel_lead,2476,1.653473,18421,"광고 세트 예산 사용 중",0,110526,"진행 중",4094,26997.068881,267,,413.955056,6.521739,283,6.912555,390.551237,230,480.547826
2024-07-17,2026-04-26,"두번째4차 65만원 카피 25-07-05",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,120,1.016667,,"광고 세트 예산 사용 중",0,1733,"진행 중",122,14204.918033,11,,157.545455,9.016393,12,9.836066,144.416667,10,173.3
2024-07-17,2026-04-26,피아노랜드광고,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,2020,1.520792,41653,"광고 세트 예산 사용 중",0,83306,"진행 중",3072,27117.838542,290,,287.262069,9.440104,323,10.514323,257.913313,268,310.843284
2024-07-17,2026-04-26,"4차랜딩 2.5 버전",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,513,1.331384,,"광고 세트 예산 사용 중",0,25631,"진행 중",683,37527.086384,45,,569.577778,6.58858,44,6.442167,582.522727,36,711.972222
2024-07-17,2026-04-26,유럽럭셔리초특가,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",10,actions:offsite_conversion.fb_pixel_view_content,1106,1.006329,889.4,"광고 세트 예산 사용 중",0,8894,"진행 중",1113,7991.015274,16,,555.875,1.437556,20,1.796945,444.7,10,889.4
2024-07-17,2026-04-26,"알차게 즐기는법",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",7,actions:offsite_conversion.fb_pixel_view_content,292,1.023973,324.42857143,"광고 세트 예산 사용 중",0,2271,"진행 중",299,7595.317726,7,,324.428571,2.341137,7,2.341137,324.428571,7,324.428571
