"보고 시작","보고 종료","캠페인 이름","캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2026-04-26,2026-04-26,"크루즈 잠재고객 광고",inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"3차 랜딩 65만원 카피",inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,3차홍콩랜딩페이지테스트,inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,크루즈야인솔자,inactive,"여러 기여 설정",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,3800크루즈인솔자,inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,인솔자테스트,inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,인솔자테스트2,inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"3차랜딩페이지 대한민국전체 복사",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,페리크루즈,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"두번째4차 65만원 카피 25-07-05",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,피아노랜드광고,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"4차랜딩 2.5 버전",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,유럽럭셔리초특가,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"알차게 즐기는법",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,뷔폐코스요리무제한,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,안전한갓성비크루즈,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,동부지중해위22만원,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,동부지중해아래22만원,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"월18만원 떠나는",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,동유럽알래스카18만원선착순,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,"올해마지막기회 동유럽",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,26년3월4일,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
2026-04-26,2026-04-26,이미지vip안마의자,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,918,1.194989,13618,"광고 세트 예산 사용 중",0,27236,"진행 중",1097,24827.711942,67,,406.507463,6.107566,76,6.927985,358.368421,62,439.290323
2026-04-26,2026-04-26,동영상vip안마의자,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
